"countries","year","produccion_pais","production_opep","Price OPEP","Price Average Annual"
"Algeria",2020,898.738,24387.805,41.47,41.8383464566929
"Congo",2020,299.936,24387.805,41.47,41.8383464566929
"Equatorial Guinea",2020,113.575,24387.805,41.47,41.8383464566929
"Gabon",2020,207.419,24387.805,41.47,41.8383464566929
"IR Iran",2020,1990.624,24387.805,41.47,41.8383464566929
"Iraq",2020,3996.617,24387.805,41.47,41.8383464566929
"Kuwait",2020,2438.003,24387.805,41.47,41.8383464566929
"Libya",2020,389.334,24387.805,41.47,41.8383464566929
"Nigeria",2020,1493.226,24387.805,41.47,41.8383464566929
"Saudi Arabia",2020,9213.21,24387.805,41.47,41.8383464566929
"United Arab Emirates",2020,2778.552,24387.805,41.47,41.8383464566929
"Venezuela",2020,568.571,24387.805,41.47,41.8383464566929
